"SAGDP9N Real GDP by state 1/"
"(Millions of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"48000","Texas","57","        Real estate",71457.5,72406.9,76772.6,79973.6,75994.8,77140.3,76958.0,77679.8,81259.5,81078.3,87049.3,89899.7,90604.7,96827.3,103137.9,108588.2,111933.3,116553.4,119101.3,120284.9,124207.3,"(NA)"
"48000","Texas","58","        Rental and leasing services and lessors of nonfinancial intangible assets",10447.1,11706.7,12449.3,12369.3,13536.9,13300.0,12882.7,12630.1,15103.7,19712.4,19878.3,18495.6,15392.0,15600.3,17850.3,16444.3,17325.2,22366.8,20679.6,23442.1,24655.2,"(NA)"
"48000","Texas","59","    Professional and business services",77732.3,83598.6,86300.3,92088.1,96485.1,97297.3,98165.6,102964.2,110156.2,118022.6,125717.9,135544.5,128005.4,134717.3,142429.7,150573.3,155092.3,168463.7,173992.1,174629.3,183830.7,197253.5
"48000","Texas","60","      Professional, scientific, and technical services",51859.6,56402.6,58006.0,61832.1,65151.6,66045.3,65082.9,66628.3,69727.0,74501.2,77672.3,85334.4,80486.2,84169.2,88636.1,93719.9,95832.0,101953.5,106427.3,108112.9,111307.9,119382.2
"48000","Texas","61","        Legal services",15415.9,16527.5,16977.0,17459.5,18045.2,17613.9,17787.5,17475.7,16455.5,16620.8,16506.6,18333.9,16401.3,15429.2,15748.3,15485.7,14822.6,14899.1,15394.2,15824.7,15925.5,"(NA)"
"48000","Texas","62","        Computer systems design and related services",3545.9,4693.9,5140.9,6227.3,6458.0,5823.9,6455.7,7367.1,8604.4,10055.8,11087.9,11823.9,12243.0,13807.0,15607.5,18031.9,20261.4,22311.0,24923.1,26981.0,29471.1,"(NA)"
"48000","Texas","63","        Miscellaneous professional, scientific, and technical services",35887.9,37581.1,38086.0,39724.7,42299.7,44614.4,42504.9,43049.8,45480.7,48387.1,50475.8,55680.7,52118.6,55024.0,57315.3,60202.4,60784.1,64849.4,66320.6,65637.8,66480.6,"(NA)"
"48000","Texas","64","      Management of companies and enterprises",4424.7,4387.1,4309.4,4625.5,5465.2,5925.6,6386.8,7097.1,8410.4,8919.3,10298.7,11021.9,10612.7,11517.7,12387.9,13991.0,14538.7,18702.6,19212.8,19514.9,22675.5,25687.7
"48000","Texas","65","      Administrative and support and waste management and remediation services",21249.9,22523.1,23604.9,25227.6,25651.8,25265.4,26631.6,29164.0,32007.3,34571.1,37734.0,39193.8,36914.8,39033.1,41406.2,42862.4,44721.4,47872.2,48438.1,47157.4,50090.6,52608.1
"48000","Texas","66","        Administrative and support services",19221.9,20391.4,21357.0,22990.2,23208.7,22689.9,24089.2,26558.4,29034.2,31447.9,34512.6,35808.0,33575.0,35271.5,37940.8,39165.9,40994.5,43946.4,44258.4,43418.8,46024.4,"(NA)"
