GeoFips,GeoName,LineCode,Description,2010,2011,2012,2013,2014,2015,2016,2017,2018
42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",12,  Farm income 2/,99034,111260,116213,162020,173429,276431,201041,231536,225234
42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",20,Population (persons) 3/,3449275,3499104,3554484,3610838,3672067,3738316,3814369,3884469,3939363
42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",30,Per capita personal income (dollars) 4/,48796,51395,55810,56585,60891,63610,66358,69913,74620
42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",,Derivation of personal income,,,,,,,,,
42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",35,Earnings by place of work,131439392,139166338,151911758,160731277,170827983,179706706,190978667,206081998,223482493
42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",36,Less: Contributions for government social insurance 5/,16362537,15450355,16079948,19015885,20043398,21225100,22322355,24077933,25405000
42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",37,  Employee and self-employed contributions for government social insurance,7703114,6320016,6662325,9130615,9671269,10269680,10910319,11862949,12676979
42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",38,  Employer contributions for government social insurance,8659423,9130339,9417623,9885270,10372129,10955420,11412036,12214984,12728021
42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",42,Plus: Adjustment for residence 6/,-3212668,-3175668,-3210931,-3172396,-3244592,-3364710,-3816861,-3977149,-4889536
42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",45,Equals: Net earnings by place of residence,111864187,120540315,132620879,138542996,147539993,155116896,164839451,178026916,193187957
42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",46,"Plus: Dividends, interest, and rent 7/",32996308,36180048,42777469,42363690,50686437,56625647,60627827,65155401,71091755
42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",47,Plus: Personal current transfer receipts,23449946,23115466,22977011,23411163,25368857,26050521,27646880,28392752,29674431
42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",,Components of earnings by place of work (thousands of dollars),,,,,,,,,
42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",50,Wages and salaries,98345358,103981664,111354901,116301841,124866797,132002719,140960915,152122741,166916767
42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",60,Supplements to wages and salaries,23837574,23931326,24829576,26161286,26970221,27722841,29344242,31301676,33088195
42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",61,  Employer contributions for employee pension and insurance funds 8/,15178151,14800987,15411953,16276016,16598092,16767421,17932206,19086692,20360174
42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",62,  Employer contributions for government social insurance,8659423,9130339,9417623,9885270,10372129,10955420,11412036,12214984,12728021
42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",70,Proprietors' income 9/,9256460,11253348,15727281,18268150,18990965,19981146,20673510,22657581,23477531
42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",71,  Farm proprietors' income,36675,56146,48024,93105,108602,208999,114957,151428,142425
42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",72,  Nonfarm proprietors' income,9219785,11197202,15679257,18175045,18882363,19772147,20558553,22506153,23335106
42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",,Employment (number of jobs),,,,,,,,,
42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",7010,Total employment,2154810,2190360,2258786,2313266,2380352,2454182,2527421,2611999,2683056
42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",7020,  Wage and salary employment,1739726,1768162,1838081,1883589,1937367,1993032,2048847,2097087,2148664
42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",7040,  Proprietors employment,415084,422198,420705,429677,442985,461150,478574,514912,534392
